Photo Name,Pod Number,Pod Size (cm)
314_MB-DOP,1,6.617159090553964
314_MB-DOP,2,8.357422349712678
314_MB-DOP,3,6.377135007380602
314_MB-DOP,4,15.47293580648271
314_MB-DOP,5,5.086246913748798
314_MB-DOP,6,4.047003956178416
314_MB-DOP,7,4.406085478358261
314_MB-DOP,8,6.560885978151004
314_MB-DOP,9,9.85101107515228
314_MB-DOP,10,9.047010851697674
314_MB-DOP,11,8.828346705323561
314_MB-DOP,12,7.474283612236202
314_MB-DOP,13,8.048166260766534
314_MB-DOP,14,4.677610770773629
314_MB-DOP,15,9.46977565358347
314_MB-DOP,16,8.080319492634713
314_MB-DOP,17,6.018499582229031
314_MB-DOP,18,6.822135718412076
314_MB-DOP,19,9.920007415525278
314_MB-DOP,20,6.817256588490715
314_MB-DOP,21,9.179930643206996
314_MB-DOP,22,13.416712386068097
314_MB-DOP,23,7.474037132363004
314_MB-DOP,24,9.35787469235784
314_MB-DOP,25,6.880198175561779
314_MB-DOP,26,8.174302673827743
314_MB-DOP,27,10.205121994989815
314_MB-DOP,28,9.879559482549562
314_MB-DOP,29,6.149698971259616
314_MB-DOP,30,9.849769213122055
314_MB-DOP,31,8.702293203225183
314_MB-DOP,32,8.9169713149406
314_MB-DOP,33,2.7832737089042436
314_MB-DOP,34,8.144127589387969
314_MB-DOP,35,5.155098159936841
314_MB-DOP,36,6.904402318868568
314_MB-DOP,37,6.870868439228035
314_MB-DOP,38,9.877598458037392
314_MB-DOP,39,9.308521941732886
314_MB-DOP,40,8.352143985481165
314_MB-DOP,41,8.151266043046466
314_MB-DOP,42,10.038224029223922
314_MB-DOP,43,8.024584400284034
314_MB-DOP,44,9.776656163203294
314_MB-DOP,45,9.863574789639479
314_MB-DOP,46,8.29968748098677
314_MB-DOP,47,5.891323177307967
314_MB-DOP,48,8.325735041407363
314_MB-DOP,49,8.379061209805364
314_MB-DOP,50,6.473893903416223
314_MB-DOP,51,9.679029405676303
314_MB-DOP,52,10.52227535314558
314_MB-DOP,53,10.72159691261497
314_MB-DOP,54,9.875212965443776
314_MB-DOP,55,9.884824328689309
314_MB-DOP,56,7.829824746182566
314_MB-DOP,57,8.160612451693387
314_MB-DOP,58,8.000741190027393
314_MB-DOP,59,8.676228519888351
314_MB-DOP,60,3.9099818744212116
314_MB-DOP,61,7.975599341755112
314_MB-DOP,62,9.155175412359219
314_MB-DOP,63,3.78348227529456
314_MB-DOP,64,9.950925093806056
314_MB-DOP,65,8.022353013936547
314_MB-DOP,66,7.975341596805443
314_MB-DOP,67,7.506949630385367
314_MB-DOP,68,7.323553284222289
314_MB-DOP,69,7.481071496714904
314_MB-DOP,70,8.774005778837001
314_MB-DOP,71,8.34482258698077
314_MB-DOP,72,9.248437628658069
314_MB-DOP,73,7.546223291789688
314_MB-DOP,74,9.358960645729697
314_MB-DOP,75,10.535846616072396
314_MB-DOP,76,6.226452443290928
314_MB-DOP,77,8.424578427193282
314_MB-DOP,78,10.173897005422893
314_MB-DOP,79,9.019833178805452
314_MB-DOP,80,7.281993713500359
314_MB-DOP,81,6.359006345116454
314_MB-DOP,82,6.510691951615155
314_MB-DOP,83,9.377785940322847
314_MB-DOP,84,9.525353034863548
314_MB-DOP,85,6.236839745003821
314_MB-DOP,86,9.608987666206746
314_MB-DOP,87,6.246199221139451
314_MB-DOP,88,7.8659000270750825
314_MB-DOP,89,8.659442654739612
314_MB-DOP,90,7.67315006261614
314_MB-DOP,91,9.408961363553296
314_MB-DOP,92,9.18745030705329
314_MB-DOP,93,8.136004117442798
314_MB-DOP,94,8.330957530859578
314_MB-DOP,95,4.517181211917705
